,BA Code,BA Name 2022,HIFDL Name 2022,Activation Date,Retirement Date,Country,City,State
1,AEC,PowerSouth Energy Cooperative,POWERSOUTH ENERGY COOPERATIVE,,,,,
2,AECI,"Associated Electric Cooperative, Inc.","ASSOCIATED ELECTRIC COOPERATIVE, INC.",,,,,
3,AVA,Avista Corporation,AVISTA CORPORATION,,,,,
4,AVRN,"Avangrid Renewables, LLC",AVANGRID RENEWABLES LLC,,,,,
5,AZPS,Arizona Public Service Company,ARIZONA PUBLIC SERVICE COMPANY,,,,,
6,BANC,Balancing Authority of Northern California,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,,,,,
7,BPAT,Bonneville Power Administration,BONNEVILLE POWER ADMINISTRATION,,,,,
8,CHPD,Public Utility District No. 1 of Chelan County,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,,,,,
9,CISO,California Independent System Operator,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,,,,,
10,CPLE,Duke Energy Progress East,DUKE ENERGY PROGRESS EAST,,,,,
11,CPLW,Duke Energy Progress West,DUKE ENERGY PROGRESS WEST,,,,,
12,DEAA,"Arlington Valley, LLC","ARLINGTON VALLEY, LLC - AVBA",,,,,
13,DOPD,PUD No. 1 of Douglas County,PUD NO. 1 OF DOUGLAS COUNTY,,,,,
14,DUK,Duke Energy Carolinas,DUKE ENERGY CAROLINAS,,,,,
15,EEI,"Electric Energy, Inc.","ELECTRIC ENERGY, INC.",,2/29/2020,,,
16,EPE,El Paso Electric Company,EL PASO ELECTRIC COMPANY,,,,,
17,ERCO,"Electric Reliability Council of Texas, Inc.","ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",,,,,
18,FMPP,Florida Municipal Power Pool,FLORIDA MUNICIPAL POWER POOL,,,,,
19,FPC,"Duke Energy Florida, Inc.",DUKE ENERGY FLORIDA INC,,,,,
20,FPL,Florida Power & Light Co.,FLORIDA POWER & LIGHT COMPANY,,,,,
21,GCPD,"Public Utility District No. 2 of Grant County, Washington","PUBLIC UTILITY DISTRICT NO. 2 OF GRANT CTY, WA",,,,,
22,GLHB,GridLiance,,2/29/2020,,,,
23,GRID,"Gridforce Energy Management, LLC","GRIDFORCE ENERGY MANAGEMENT, LLC",,,,,
24,GRIF,"Griffith Energy, LLC","GRIFFITH ENERGY, LLC",,,,,
25,GRMA,"Gila River Power, LLC","GILA RIVER POWER, LLC",,5/3/2018,,,
26,GVL,Gainesville Regional Utilities,GAINESVILLE REGIONAL UTILITIES,,,,,
27,GWA,"NaturEner Power Watch, LLC","NATURENER POWER WATCH, LLC (GWA)",,,,,
28,HGMA,"New Harquahala Generating Company, LLC","NEW HARQUAHALA GENERATING COMPANY, LLC - HGBA",,,,,
29,HST,City of Homestead,CITY OF HOMESTEAD,,,,,
30,IID,Imperial Irrigation District,IMPERIAL IRRIGATION DISTRICT,,,,,
31,IPCO,Idaho Power Company,IDAHO POWER COMPANY,,,,,
32,ISNE,ISO New England,ISO NEW ENGLAND INC.,,,,,
33,JEA,JEA,JEA,,,,,
34,LDWP,Los Angeles Department of Water and Power,LOS ANGELES DEPARTMENT OF WATER AND POWER,,,,,
35,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,,,,,
36,MISO,"Midcontinent Independent System Operator, Inc.","MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",,,,,
37,NEVP,Nevada Power Company,NEVADA POWER COMPANY,,,,,
38,NSB,Utilities Commission of New Smyrna Beach,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",,1/8/2020,,,
39,NWMT,NorthWestern Corporation,NORTHWESTERN ENERGY (NWMT),,,,,
40,NYIS,New York Independent System Operator,NEW YORK INDEPENDENT SYSTEM OPERATOR,,,,,
41,OVEC,Ohio Valley Electric Corporation,OHIO VALLEY ELECTRIC CORPORATION,,12/1/2018,,,
42,PACE,PacifiCorp East,PACIFICORP - EAST,,,,,
43,PACW,PacifiCorp West,PACIFICORP - WEST,,,,,
44,PGE,Portland General Electric Company,PORTLAND GENERAL ELECTRIC COMPANY,,,,,
45,PJM,"PJM Interconnection, LLC","PJM INTERCONNECTION, LLC",,,,,
46,PNM,Public Service Company of New Mexico,PUBLIC SERVICE COMPANY OF NEW MEXICO,,,,,
47,PSCO,Public Service Company of Colorado,PUBLIC SERVICE COMPANY OF COLORADO,,,,,
48,PSEI,"Puget Sound Energy, Inc.",PUGET SOUND ENERGY,,,,,
49,SC,South Carolina Public Service Authority,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,,,,,
50,SCEG,South Carolina Electric & Gas Company,SOUTH CAROLINA ELECTRIC & GAS COMPANY,,,,,
51,SCL,Seattle City Light,SEATTLE CITY LIGHT,,,,,
52,SEC,Seminole Electric Cooperative,SEMINOLE ELECTRIC COOPERATIVE,,,,,
53,SEPA,Southeastern Power Administration,SOUTHWESTERN POWER ADMINISTRATION,,,,,
54,SOCO,"Southern Company Services, Inc. - Trans","SOUTHERN COMPANY SERVICES, INC. - TRANS",,,,,
55,SPA,Southwestern Power Administration,SOUTHEASTERN POWER ADMINISTRATION,,,,,
56,SRP,Salt River Project Agricultural Improvement and Power District,SALT RIVER PROJECT,,,,,
57,SWPP,Southwest Power Pool,SOUTHWEST POWER POOL,,,,,
58,TAL,City of Tallahassee,CITY OF TALLAHASSEE,,,,,
59,TEC,Tampa Electric Company,TAMPA ELECTRIC COMPANY,,,,,
60,TEPC,Tucson Electric Power,TUCSON ELECTRIC POWER COMPANY,,,,,
61,TIDC,Turlock Irrigation District,TURLOCK IRRIGATION DISTRICT,,,,,
62,TPWR,"City of Tacoma, Department of Public Utilities, Light Division","CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",,,,,
63,TVA,Tennessee Valley Authority,TENNESSEE VALLEY AUTHORITY,,,,,
64,WACM,Western Area Power Administration - Rocky Mountain Region,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,,,,,
65,WALC,Western Area Power Administration - Desert Southwest Region,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,,,,,
66,WAUE,Western Area Power Administration - Upper Great Plains East,,,10/1/2015,,,
67,WAUW,Western Area Power Administration - Upper Great Plains West,WESTERN AREA POWER ADMINISTRATION UGP WEST,,,,,
68,WWA,"NaturEner Wind Watch, LLC","NATURENER WIND WATCH, LLC",,,,,
69,YAD,"Alcoa Power Generating, Inc. - Yadkin Division","ALCOA POWER GENERATING, INC. - YADKIN DIVISION",,,,,
70,AESO,Alberta Electric System Operator,,,,CAN,,
71,BCHA,British Columbia Hydro and Power Authority,,,,CAN,,
72,HQT,Hydro-Quebec TransEnergie,,,,CAN,,
73,IESO,Ontario IESO,,,,CAN,,
74,MHEB,Manitoba Hydro,,,,CAN,,
75,NBSO,New Brunswick System Operator,NEW BRUNSWICK SYSTEM OPERATOR,,,CAN,,
76,SPC,Saskatchewan Power Corporation,,,,CAN,,
77,CEN,Centro Nacional de Control de Energia,,,,MEX,,
78,CFE,Comision Federal de Electricidad,,,,MEX,,
,,,GRIDFORCE SOUTH,,,,HOUSTON,TX
,,,HAWAIIAN ELECTRIC CO INC,,,,HONOLULU,HI
,,,CHUGACH ELECTRIC ASSN INC,,,,ANCHORAGE,AK
,,,ANCHORAGE MUNICIPAL LIGHT & POWER,,,,ANCHORAGE,AK
